n, p, rho_spec, rho_supp, alpha_scnr, inst, status, sol_time
15,6,0.027,0.50,3,5,solved,13.391
15,6,0.027,0.50,4,1,solved,45.000
15,6,0.027,0.50,4,2,solved,25.406
15,6,0.027,0.50,4,3,solved,18.750
15,6,0.027,0.50,4,4,solved,11.344
15,6,0.027,0.50,4,5,solved,25.297
15,6,0.027,0.70,1,1,solved,1.094
15,6,0.027,0.70,1,2,solved,2.500
15,6,0.027,0.70,1,3,solved,1.891
15,6,0.027,0.70,1,4,solved,3.875
15,6,0.027,0.70,1,5,solved,3.500
15,6,0.027,0.70,2,1,solved,28.109
15,6,0.027,0.70,2,2,solved,59.250
15,6,0.027,0.70,2,3,solved,56.578
15,6,0.027,0.70,2,4,solved,133.094
15,6,0.027,0.70,2,5,solved,18.719
15,6,0.027,0.70,3,1,solved,14.703
15,6,0.027,0.70,3,2,solved,12.359
15,6,0.027,0.70,3,3,solved,9.766
15,6,0.027,0.70,3,4,solved,28.688
15,6,0.027,0.70,3,5,solved,11.922
15,6,0.027,0.70,4,1,solved,20.078
15,6,0.027,0.70,4,2,solved,22.719
15,6,0.027,0.70,4,3,solved,27.609
15,6,0.027,0.70,4,4,solved,19.984
15,6,0.027,0.70,4,5,solved,6.516
15,12,0.053,0.30,1,1,solved,25.750
15,12,0.053,0.30,1,2,solved,28.266
15,12,0.053,0.30,1,3,solved,46.422
15,12,0.053,0.30,1,4,solved,9.766
15,12,0.053,0.30,1,5,solved,26.797
15,12,0.053,0.30,2,1,solved,56.094
15,12,0.053,0.30,2,2,solved,296.078
15,12,0.053,0.30,2,3,solved,329.844
15,12,0.053,0.30,2,4,solved,423.328
15,12,0.053,0.30,2,5,solved,550.203
15,12,0.053,0.30,3,1,solved,157.656
15,12,0.053,0.30,3,2,solved,48.719
15,12,0.053,0.30,3,3,solved,197.531
15,12,0.053,0.30,3,4,solved,107.609
15,12,0.053,0.30,3,5,solved,210.641
15,12,0.053,0.30,4,1,solved,149.719
15,12,0.053,0.30,4,2,solved,165.797
15,12,0.053,0.30,4,3,solved,302.438
15,12,0.053,0.30,4,4,solved,182.125
15,12,0.053,0.30,4,5,solved,303.891
15,12,0.053,0.50,1,1,solved,4.391
15,12,0.053,0.50,1,2,solved,6.047
15,12,0.053,0.50,1,3,solved,3.656
15,12,0.053,0.50,1,4,solved,9.156
15,12,0.053,0.50,1,5,solved,3.438
15,12,0.053,0.50,2,1,solved,160.938
15,12,0.053,0.50,2,2,solved,304.344
15,12,0.053,0.50,2,3,solved,78.562
15,12,0.053,0.50,2,4,solved,48.734
15,12,0.053,0.50,2,5,solved,175.266
15,12,0.053,0.50,3,1,solved,19.719
15,12,0.053,0.50,3,2,solved,74.906
15,12,0.053,0.50,3,3,solved,47.328
15,12,0.053,0.50,3,4,solved,23.172
15,12,0.053,0.50,3,5,solved,37.516
15,12,0.053,0.50,4,1,solved,95.141
15,12,0.053,0.50,4,2,solved,60.625
15,12,0.053,0.50,4,3,solved,145.156
15,12,0.053,0.50,4,4,solved,121.531
15,12,0.053,0.50,4,5,solved,50.438
15,12,0.053,0.70,1,1,solved,4.766
15,12,0.053,0.70,1,2,solved,6.062
15,12,0.053,0.70,1,3,solved,3.172
15,12,0.053,0.70,1,4,solved,9.578
15,12,0.053,0.70,1,5,solved,9.359
15,12,0.053,0.70,2,1,solved,121.406
15,12,0.053,0.70,2,2,solved,26.766
15,12,0.053,0.70,2,3,solved,143.953
15,12,0.053,0.70,2,4,solved,143.234
15,12,0.053,0.70,2,5,solved,27.578
15,12,0.053,0.70,3,1,solved,85.078
15,12,0.053,0.70,3,2,solved,72.547
15,12,0.053,0.70,3,3,solved,99.906
15,12,0.053,0.70,3,4,solved,28.750
15,12,0.053,0.70,3,5,solved,22.438
15,12,0.053,0.70,4,1,solved,47.172
15,12,0.053,0.70,4,2,solved,29.844
15,12,0.053,0.70,4,3,solved,101.891
15,12,0.053,0.70,4,4,solved,128.438
15,12,0.053,0.70,4,5,solved,39.906
20,5,0.013,0.30,1,1,solved,3.812
20,5,0.013,0.30,1,2,solved,7.688
20,5,0.013,0.30,1,3,solved,5.375
20,5,0.013,0.30,1,4,solved,7.312
20,5,0.013,0.30,1,5,solved,4.969
20,5,0.013,0.30,2,1,solved,119.828
20,5,0.013,0.30,2,2,solved,62.766
20,5,0.013,0.30,2,3,solved,339.547
20,5,0.013,0.30,2,4,solved,298.297
20,5,0.013,0.30,2,5,solved,252.531
20,5,0.013,0.30,3,1,solved,5.219
20,5,0.013,0.30,3,2,solved,4.094
20,5,0.013,0.30,3,3,solved,44.203
20,5,0.013,0.30,3,4,solved,7.984
20,5,0.013,0.30,3,5,solved,21.047
20,5,0.013,0.30,4,1,solved,74.047
20,5,0.013,0.30,4,2,solved,315.469
20,5,0.013,0.30,4,3,solved,126.688
20,5,0.013,0.30,4,4,solved,145.297
20,5,0.013,0.30,4,5,solved,36.141
20,5,0.013,0.50,1,1,solved,2.156
20,5,0.013,0.50,1,2,solved,7.141
20,5,0.013,0.50,1,3,solved,5.672
20,5,0.013,0.50,1,4,solved,6.469
20,5,0.013,0.50,1,5,solved,1.656
20,5,0.013,0.50,2,1,solved,313.344
20,5,0.013,0.50,2,2,solved,75.172
20,5,0.013,0.50,2,3,solved,120.344
20,5,0.013,0.50,2,4,solved,260.578
20,5,0.013,0.50,2,5,solved,254.297
20,5,0.013,0.50,3,1,solved,6.859
20,5,0.013,0.50,3,2,solved,27.719
20,5,0.013,0.50,3,3,solved,30.516
20,5,0.013,0.50,3,4,solved,35.875
20,5,0.013,0.50,3,5,solved,60.938
20,5,0.013,0.50,4,1,solved,91.266
20,5,0.013,0.50,4,2,solved,47.312
20,5,0.013,0.50,4,3,solved,38.906
20,5,0.013,0.50,4,4,solved,4.188
20,5,0.013,0.50,4,5,solved,50.625
20,5,0.013,0.70,1,1,solved,1.844
20,5,0.013,0.70,1,2,solved,6.609
20,5,0.013,0.70,1,3,solved,13.516
20,5,0.013,0.70,1,4,solved,2.891
20,5,0.013,0.70,1,5,solved,2.156
20,5,0.013,0.70,2,1,solved,287.766
20,5,0.013,0.70,2,2,solved,388.625
20,5,0.013,0.70,2,3,solved,111.500
20,5,0.013,0.70,2,4,solved,65.094
20,5,0.013,0.70,2,5,solved,96.703
